id,title,body,category,priority,title_length,body_length,text,text_clean,len_words_raw,len_words_clean,split
11,Backup: storico fatture 2002 - listino per preventivo,Controllo qualità dtai contabili storici per archivio. Verifica di routine sulla coerenza dei vecchi movimenti di anni passati. Non blocca nessuna attività corrente e non richiede correzioni urgenti. Si può procedere gradualmente alla validazione dei record passati. con sincronizzazione con errore critico per negoziazione,Amministrazione,alta,53,323,Backup: storico fatture 2002 - listino per preventivo Controllo qualità dtai contabili storici per archivio. Verifica di routine sulla coerenza dei vecchi movimenti di anni passati. Non blocca nessuna attività corrente e non richiede correzioni urgenti. Si può procedere gradualmente alla validazione dei record passati. con sincronizzazione con errore critico per negoziazione,backup storico fatture 2002 listino per preventivo controllo qualità dtai contabili storici per archivio verifica di routine sulla coerenza dei vecchi movimenti di anni passati non blocca nessuna attività corrente e non richiede correzioni urgenti si può procedere gradualmente alla validazione dei record passati con sincronizzazione con errore critico per negoziazione,52,51,train
12,Discrepanza contabile: bonifico 1106.92 non visibile (chiusura bloccata),"err di stampa isolato: impossibile stampare la fattura 2740/23. Il sistema egnera il PDF correttamente a video, ma l'invio alla stampante fallisce. Altre fatture vengono stampate regolarmente. Il cleinte Giannelli, Forza e Soderini Group è in attesa del cartaceo per il ritiro merce. con errore critico",Amministrazione,alta,72,302,"Discrepanza contabile: bonifico 1106.92 non visibile (chiusura bloccata) err di stampa isolato: impossibile stampare la fattura 2740/23. Il sistema egnera il PDF correttamente a video, ma l'invio alla stampante fallisce. Altre fatture vengono stampate regolarmente. Il cleinte Giannelli, Forza e Soderini Group è in attesa del cartaceo per il ritiro merce. con errore critico",discrepanza contabile bonifico 1106 92 non visibile chiusura bloccata err di stampa isolato impossibile stampare la fattura 2740 23 il sistema egnera il pdf correttamente a video ma l invio alla stampante fallisce altre fatture vengono stampate regolarmente il cleinte giannelli forza e soderini group è in attesa del cartaceo per il ritiro merce con errore critico,54,57,train
13,Backup: storico fatture 1975 disponibilità,Proposta di manutenzione ordinaria: pulizia account inattivi da lungo periodo. Lista di 2 utenti che non accedono da mesi. Attività di igiene del adtabase da schedulare come task di routine. Nessun impatto sugli utenti attiiv o sul servizio di produzione.n,Amministrazione,bassa,42,256,Backup: storico fatture 1975 disponibilità Proposta di manutenzione ordinaria: pulizia account inattivi da lungo periodo. Lista di 2 utenti che non accedono da mesi. Attività di igiene del adtabase da schedulare come task di routine. Nessun impatto sugli utenti attiiv o sul servizio di produzione.n,backup storico fatture 1975 disponibilità proposta di manutenzione ordinaria pulizia account inattivi da lungo periodo lista di 2 utenti che non accedono da mesi attività di igiene del adtabase da schedulare come task di routine nessun impatto sugli utenti attiiv o sul servizio di produzione n,45,46,train
14,Info: statistiche licenze Linea Pro con condizioni commerciali,"Errore validazione codice fiscale per nuvoo clinete Pincherle, Lercari e Paganini e figli. Il sistema lo segna come errato anche se è formalmente valido. Impedisec il salvataggio della scheda cliente. Necessario bypassare il controllo o correggere l'algoritmo di validazione.r",Amministrazione,media,62,276,"Info: statistiche licenze Linea Pro con condizioni commerciali Errore validazione codice fiscale per nuvoo clinete Pincherle, Lercari e Paganini e figli. Il sistema lo segna come errato anche se è formalmente valido. Impedisec il salvataggio della scheda cliente. Necessario bypassare il controllo o correggere l'algoritmo di validazione.r",info statistiche licenze linea pro con condizioni commerciali errore validazione codice fiscale per nuvoo clinete pincherle lercari e paganini e figli il sistema lo segna come errato anche se è formalmente valido impedisec il salvataggio della scheda cliente necessario bypassare il controllo o correggere l algoritmo di validazione r,47,49,train
15,Errore stampa: impossibile stampare fatt. 5746/22 (cliente aspetta),Richiesta estraizone dati statistici su utilizzo licenze Linea Enterprise. Il report esrve esclusivamente per proiezioni di budget anno prossimo (uso interno). Nessuna scadenza operativa immediata. Elaborazione da fare offline quando le risorse lo permettono. - disponibilità - bug,Amministrazione,media,67,281,Errore stampa: impossibile stampare fatt. 5746/22 (cliente aspetta) Richiesta estraizone dati statistici su utilizzo licenze Linea Enterprise. Il report esrve esclusivamente per proiezioni di budget anno prossimo (uso interno). Nessuna scadenza operativa immediata. Elaborazione da fare offline quando le risorse lo permettono. - disponibilità - bug,errore stampa impossibile stampare fatt 5746 22 cliente aspetta richiesta estraizone dati statistici su utilizzo licenze linea enterprise il report esrve esclusivamente per proiezioni di budget anno prossimo uso interno nessuna scadenza operativa immediata elaborazione da fare offline quando le risorse lo permettono disponibilità bug,46,45,train
16,err. calcolo IVA: importo errato su doc estera (non validabile),"Data entry: modifica scheda informativa cliente Volterra, Fusani e Trotta SPA. Aggiornamento campi email stefano46@pace-tebaldi.it e referente operatore_23. Modifica puramente formale per completezza anagrafica. Attività amministrativa standard di basso livello, gestibile in background. memory leak per disponibilità - negoziazione",Amministrazione,bassa,63,332,"err. calcolo IVA: importo errato su doc estera (non validabile) Data entry: modifica scheda informativa cliente Volterra, Fusani e Trotta SPA. Aggiornamento campi email stefano46@pace-tebaldi.it e referente operatore_23. Modifica puramente formale per completezza anagrafica. Attività amministrativa standard di basso livello, gestibile in background. memory leak per disponibilità - negoziazione",err calcolo iva importo errato su doc estera non validabile data entry modifica scheda informativa cliente volterra fusani e trotta spa aggiornamento campi email stefano46 pace tebaldi it e referente operatore_23 modifica puramente formale per completezza anagrafica attività amministrativa standard di basso livello gestibile in background memory leak per disponibilità negoziazione,49,51,train
17,"Log: inserimento anagrafica Mastandrea, Bocca e Trotta Group","L'account utente operatore_23 risulta bloccato dal applicativo fatturazione con problem ""503"". L'utente deve urgentmente accedere per completaer l'elaborazione delle fatture per il cliente Mastandrea, Bocca e Trotta Group. Il blocco sta impattando le operazioni di chiusura ordini e l'invio documenti contabili. Si richiede intervento tech immediato per ripristino access entro entro oggi. con errore critico - negoziazionel",Amministrazione,alta,60,424,"Log: inserimento anagrafica Mastandrea, Bocca e Trotta Group L'account utente operatore_23 risulta bloccato dal applicativo fatturazione con problem ""503"". L'utente deve urgentmente accedere per completaer l'elaborazione delle fatture per il cliente Mastandrea, Bocca e Trotta Group. Il blocco sta impattando le operazioni di chiusura ordini e l'invio documenti contabili. Si richiede intervento tech immediato per ripristino access entro entro oggi. con errore critico - negoziazionel",log inserimento anagrafica mastandrea bocca e trotta group l account utente operatore_23 risulta bloccato dal applicativo fatturazione con problem 503 l utente deve urgentmente accedere per completaer l elaborazione delle fatture per il cliente mastandrea bocca e trotta group il blocco sta impattando le operazioni di chiusura ordini e l invio documenti contabili si richiede intervento tech immediato per ripristino access entro entro oggi con errore critico negoziazionel,65,68,train
18,Monitoraggio: log modulo utenti (nessun bug),Richiesta estrazione dati statistici su utilizzo licenze Linea Pro. Il report serve esclusivamente per proiezioni di budget anno prosismo (uso interno). Nessuna scadenza operativa immediaat. Elaborazione da fare fofline quando le risorse lo permettono. performance,Amministrazione,media,44,264,Monitoraggio: log modulo utenti (nessun bug) Richiesta estrazione dati statistici su utilizzo licenze Linea Pro. Il report serve esclusivamente per proiezioni di budget anno prosismo (uso interno). Nessuna scadenza operativa immediaat. Elaborazione da fare fofline quando le risorse lo permettono. performance,monitoraggio log modulo utenti nessun bug richiesta estrazione dati statistici su utilizzo licenze linea pro il report serve esclusivamente per proiezioni di budget anno prosismo uso interno nessuna scadenza operativa immediaat elaborazione da fare fofline quando le risorse lo permettono performance,41,41,test
19,Batch: consolidamento dati contabili con memory leak per condizioni commerciali,"Attività di background: archiviazione documenti storici cliente Anguillara-Sforza Group per anno 2019. Si tratta di spostare vecchi file (fatture, contratti) nell'archivio morto per liberare spazio. eNssuna urgenza operativa: il task può girare nei momenti di inattività del applicativo. Operazione di manutenzione ordinaria del database.",Amministrazione,bassa,79,338,"Batch: consolidamento dati contabili con memory leak per condizioni commerciali Attività di background: archiviazione documenti storici cliente Anguillara-Sforza Group per anno 2019. Si tratta di spostare vecchi file (fatture, contratti) nell'archivio morto per liberare spazio. eNssuna urgenza operativa: il task può girare nei momenti di inattività del applicativo. Operazione di manutenzione ordinaria del database.",batch consolidamento dati contabili con memory leak per condizioni commerciali attività di background archiviazione documenti storici cliente anguillara sforza group per anno 2019 si tratta di spostare vecchi file fatture contratti nell archivio morto per liberare spazio enssuna urgenza operativa il task può girare nei momenti di inattività del applicativo operazione di manutenzione ordinaria del database,54,56,train
20,Timeout ricerca: impossibile filtrare fatture > 30 giorni,"Discrepanza IVA su doc estera 8131/23. Il sys calcola un importo diverso da quello atteso per il cliente Contarini Group. Differenza di pochi euro, ma impedisce la validazione contabile. Richiesta verifica configurazione aliquote nel modulo vendite. con sconto - condizioni commercialir",Amministrazione,media,57,286,"Timeout ricerca: impossibile filtrare fatture > 30 giorni Discrepanza IVA su doc estera 8131/23. Il sys calcola un importo diverso da quello atteso per il cliente Contarini Group. Differenza di pochi euro, ma impedisce la validazione contabile. Richiesta verifica configurazione aliquote nel modulo vendite. con sconto - condizioni commercialir",timeout ricerca impossibile filtrare fatture 30 giorni discrepanza iva su doc estera 8131 23 il sys calcola un importo diverso da quello atteso per il cliente contarini group differenza di pochi euro ma impedisce la validazione contabile richiesta verifica configurazione aliquote nel modulo vendite con sconto condizioni commercialir,49,48,train
21,Funzione rotta: tasto upload PDF non cliccabile,Richiesta estrazione dati statistici su utilizzo licenze Linea accessri. Il report serve esclusivamente per proiezioni di budget anno prossimo (uso interno). Nessuna scadenza operativa immediata. Elaborazione da fare offline quanod le risorse lo permettono.,Amministrazione,bassa,47,257,Funzione rotta: tasto upload PDF non cliccabile Richiesta estrazione dati statistici su utilizzo licenze Linea accessri. Il report serve esclusivamente per proiezioni di budget anno prossimo (uso interno). Nessuna scadenza operativa immediata. Elaborazione da fare offline quanod le risorse lo permettono.,funzione rotta tasto upload pdf non cliccabile richiesta estrazione dati statistici su utilizzo licenze linea accessri il report serve esclusivamente per proiezioni di budget anno prossimo uso interno nessuna scadenza operativa immediata elaborazione da fare offline quanod le risorse lo permettono,41,41,test
22,Mancata notifica: email approvazione persa (processo fermo) con timeout per sincronizzazione,"Impossibile allegare PDF al record della fat 5908/20. Il bottone 'Upload' non risponde o dà errore di permessi. Il documento deve essere archiviato digtialmente entro fine mese. Probleam limitato alla funzione di upload, il resto funziona.u",Amministrazione,media,92,240,"Mancata notifica: email approvazione persa (processo fermo) con timeout per sincronizzazione Impossibile allegare PDF al record della fat 5908/20. Il bottone 'Upload' non risponde o dà errore di permessi. Il documento deve essere archiviato digtialmente entro fine mese. Probleam limitato alla funzione di upload, il resto funziona.u",mancata notifica email approvazione persa processo fermo con timeout per sincronizzazione impossibile allegare pdf al record della fat 5908 20 il bottone upload non risponde o dà errore di permessi il documento deve essere archiviato digtialmente entro fine mese probleam limitato alla funzione di upload il resto funziona u,47,49,test
23,Errore validazione: codice fiscale corretto rifiutato dal applicativo con sconto per memory leak,"Problema di visualizzazione anagrafica cliente Berengario Group. Alcuni campi (telefono, indirizzo) appaiono vuoti anche se popolati nel DB. Rende difficile contattare il cliente per sollecito pagamenti. Bug dell'interfaccia vendite da correggere. errore critico - preventivo per errore critico",Amministrazione,alta,96,294,"Errore validazione: codice fiscale corretto rifiutato dal applicativo con sconto per memory leak Problema di visualizzazione anagrafica cliente Berengario Group. Alcuni campi (telefono, indirizzo) appaiono vuoti anche se popolati nel DB. Rende difficile contattare il cliente per sollecito pagamenti. Bug dell'interfaccia vendite da correggere. errore critico - preventivo per errore critico",errore validazione codice fiscale corretto rifiutato dal applicativo con sconto per memory leak problema di visualizzazione anagrafica cliente berengario group alcuni campi telefono indirizzo appaiono vuoti anche se popolati nel db rende difficile contattare il cliente per sollecito pagamenti bug dell interfaccia vendite da correggere errore critico preventivo per errore critico,51,51,train
24,Blocco sistema durante elaborazione doc 7508/21 per Toldo-Cerutti s.r.l.,"L'account giulia.verdi risulta bloccato per troppi tentativi di access errati. Serve sblocco manuale da parte dell'amministratore. L'utente deve completare l'inserimento ordini entro sera. Non è un pb. di sistema generalizzato, solo utenza singola.o",Amministrazione,alta,72,249,"Blocco sistema durante elaborazione doc 7508/21 per Toldo-Cerutti s.r.l. L'account giulia.verdi risulta bloccato per troppi tentativi di access errati. Serve sblocco manuale da parte dell'amministratore. L'utente deve completare l'inserimento ordini entro sera. Non è un pb. di sistema generalizzato, solo utenza singola.o",blocco sistema durante elaborazione doc 7508 21 per toldo cerutti s r l l account giulia verdi risulta bloccato per troppi tentativi di access errati serve sblocco manuale da parte dell amministratore l utente deve completare l inserimento ordini entro sera non è un pb di sistema generalizzato solo utenza singola o,42,52,test
25,Archivio: documentazione storica 1975 per performance listino con ordine urgente,Proposta di manutenzione ordinaria: pulizia cacount inattivi da lungo periodo. Lista di 6 utenti che non accedono da mesi. Attività di igiene del database da schedulare ocme task di routine. Nessun impatto sugli utenti attivi o sul servizio di produzione. con memory leak,Amministrazione,alta,80,271,Archivio: documentazione storica 1975 per performance listino con ordine urgente Proposta di manutenzione ordinaria: pulizia cacount inattivi da lungo periodo. Lista di 6 utenti che non accedono da mesi. Attività di igiene del database da schedulare ocme task di routine. Nessun impatto sugli utenti attivi o sul servizio di produzione. con memory leak,archivio documentazione storica 1975 per performance listino con ordine urgente proposta di manutenzione ordinaria pulizia cacount inattivi da lungo periodo lista di 6 utenti che non accedono da mesi attività di igiene del database da schedulare ocme task di routine nessun impatto sugli utenti attivi o sul servizio di produzione con memory leak,53,53,train
26,Errore validazione: codice fiscale corretto rifiutato dal sistema,"Monitoraggio passivo dei log modulo gestione utenti per statistiche utilizzo. Analisi a posteriori dei rtacciati per identificare tredn di lungo periodo. Non ci sono errori attivi o malfunzionamenti. Attività di studio per future ottimizzazioni, esnza impatto attuale. con condizioni commerciali - sincronizzazione per condizioni commerciali",Amministrazione,media,65,341,"Errore validazione: codice fiscale corretto rifiutato dal sistema Monitoraggio passivo dei log modulo gestione utenti per statistiche utilizzo. Analisi a posteriori dei rtacciati per identificare tredn di lungo periodo. Non ci sono errori attivi o malfunzionamenti. Attività di studio per future ottimizzazioni, esnza impatto attuale. con condizioni commerciali - sincronizzazione per condizioni commerciali",errore validazione codice fiscale corretto rifiutato dal sistema monitoraggio passivo dei log modulo gestione utenti per statistiche utilizzo analisi a posteriori dei rtacciati per identificare tredn di lungo periodo non ci sono errori attivi o malfunzionamenti attività di studio per future ottimizzazioni esnza impatto attuale con condizioni commerciali sincronizzazione per condizioni commerciali,53,52,train
27,Batch: consolidamento dati contabili,"Attività di background: archiviazione documenti storici cliente Montanariello e figli per anno 1990. Si tratta di spostare vecchi file (fattuer, contratti) nell'archivio morto per liberare spazio. Nessuna urgenza operativa: il task può girare nei momenti di inattività del sistema. Operazione di manutenzioen ordinaria del database. con negoziazione",Amministrazione,bassa,36,349,"Batch: consolidamento dati contabili Attività di background: archiviazione documenti storici cliente Montanariello e figli per anno 1990. Si tratta di spostare vecchi file (fattuer, contratti) nell'archivio morto per liberare spazio. Nessuna urgenza operativa: il task può girare nei momenti di inattività del sistema. Operazione di manutenzioen ordinaria del database. con negoziazione",batch consolidamento dati contabili attività di background archiviazione documenti storici cliente montanariello e figli per anno 1990 si tratta di spostare vecchi file fattuer contratti nell archivio morto per liberare spazio nessuna urgenza operativa il task può girare nei momenti di inattività del sistema operazione di manutenzioen ordinaria del database con negoziazione,51,52,train
28,Errore calcolo IVA: importo errato su doc estera (non validabile) - bug con bug,"Mancata ricezione notifica approvazione ordine ORD-94333. Il responsabile ha approvato, ma l'email non è arrivata all'amministrazione. Senza notifica la fatturazione non parte. Verificare code di posta in uscita su ambiente staging.",Amministrazione,media,79,232,"Errore calcolo IVA: importo errato su doc estera (non validabile) - bug con bug Mancata ricezione notifica approvazione ordine ORD-94333. Il responsabile ha approvato, ma l'email non è arrivata all'amministrazione. Senza notifica la fatturazione non parte. Verificare code di posta in uscita su ambiente staging.",errore calcolo iva importo errato su doc estera non validabile bug con bug mancata ricezione notifica approvazione ordine ord 94333 il responsabile ha approvato ma l email non è arrivata all amministrazione senza notifica la fatturazione non parte verificare code di posta in uscita su ambiente staging,45,47,train
29,Archivio: documentazione storica 1976,Richiesta estrazione dati statistici su utilizzo licenze Linea Accessori. Il report serve esclusivamente per proiezioni di budget anno prossimo (uso interno). Nessuna scadenza operativa immediata. Elaborazione da fare offline quando le risorse lo permettono.. Segnalato anche blocco,Amministrazione,bassa,37,282,Archivio: documentazione storica 1976 Richiesta estrazione dati statistici su utilizzo licenze Linea Accessori. Il report serve esclusivamente per proiezioni di budget anno prossimo (uso interno). Nessuna scadenza operativa immediata. Elaborazione da fare offline quando le risorse lo permettono.. Segnalato anche blocco,archivio documentazione storica 1976 richiesta estrazione dati statistici su utilizzo licenze linea accessori il report serve esclusivamente per proiezioni di budget anno prossimo uso interno nessuna scadenza operativa immediata elaborazione da fare offline quando le risorse lo permettono segnalato anche blocco,41,41,test
30,Discrepanza contabile: bonifico 709.28 non visibile (chiusura bloccata),"Attività di bacgkround: archiviazione documenti storici cliente Bersani e figli per anno 1999. Si tratta di spostare vecchi file (fatture, contratti) nella'rchivio morto per liberare spazio. Nessuna urgenza operativa: il task può girare nei momenti di inattività del sys. Operazioen di manutenzione ordinaria del database.",Amministrazione,media,71,322,"Discrepanza contabile: bonifico 709.28 non visibile (chiusura bloccata) Attività di bacgkround: archiviazione documenti storici cliente Bersani e figli per anno 1999. Si tratta di spostare vecchi file (fatture, contratti) nella'rchivio morto per liberare spazio. Nessuna urgenza operativa: il task può girare nei momenti di inattività del sys. Operazioen di manutenzione ordinaria del database.",discrepanza contabile bonifico 709 28 non visibile chiusura bloccata attività di bacgkround archiviazione documenti storici cliente bersani e figli per anno 1999 si tratta di spostare vecchi file fatture contratti nella rchivio morto per liberare spazio nessuna urgenza operativa il task può girare nei momenti di inattività del sys operazioen di manutenzione ordinaria del database,53,55,train
31,Info: statistiche licenze Linea Accessori timeout con crash con listino,Nota di aggiornamento anagrafica per cliente Rusticucci SPA nel sisteam clienti. Inseriti dati nuovo referente giulia.verdi a puro titolo informativo per il database. Nessuna azione di sincronizzazione richiesta al momento. Semplice data entry per tenere ordinato lo storico contatti.r,Amministrazione,media,71,285,Info: statistiche licenze Linea Accessori timeout con crash con listino Nota di aggiornamento anagrafica per cliente Rusticucci SPA nel sisteam clienti. Inseriti dati nuovo referente giulia.verdi a puro titolo informativo per il database. Nessuna azione di sincronizzazione richiesta al momento. Semplice data entry per tenere ordinato lo storico contatti.r,info statistiche licenze linea accessori timeout con crash con listino nota di aggiornamento anagrafica per cliente rusticucci spa nel sisteam clienti inseriti dati nuovo referente giulia verdi a puro titolo informativo per il database nessuna azione di sincronizzazione richiesta al momento semplice data entry per tenere ordinato lo storico contatti r,49,51,train
